Number of Particles, acceleration_direct, acceleration_direct_vectorized, acceleration_pyfalcon, acceleration_tf, acceleration_direct_tf, Vectorized Parallel, Direct Parallel
10, 0.0005499240069184452, 0.0002672669943422079, 0.00013152499741408974, 0.3845787359896349, 0.23355326299497392, 0.38594722747802734, 0.3619687557220459
1008, 5.535825373997795, 0.07209238600626122, 0.0011957949900534004, 0.007321939992834814, 0.05951327699585818, 0.5282814502716064, 1.7098863124847412
2007, 21.471131472004345, 0.20331409299978986, 0.0022796249977545813, 0.006285330004175194, 0.08427784800005611, 0.5704481601715088, 5.802365303039551
3006, 48.329595994000556, 0.4803216500004055, 0.0036931000067852437, 0.007803386004525237, 0.16525657400779892, 0.6723606586456299, 12.65284538269043
4005, 86.0649132719991, 0.9033899210044183, 0.005071224004495889, 0.00837665400467813, 0.20705571600410622, 0.8183205127716064, 22.00368309020996
5004, 134.11349498400523, 1.3690959880041191, 0.006576372004928999, 0.006924971006810665, 0.38292453400208615, 0.936915397644043, 34.650776386260986
6003, 192.5009237339982, 1.9666200919891708, 0.007855005009332672, 0.007289048007805832, 0.5950874659902183, 1.1135406494140625, 50.33854150772095
7002, 261.3685007870081, 2.6514357929991093, 0.008918503997847438, 0.008158254000591114, 0.5147526200016728, 1.4639372825622559, 67.07437992095947
8001, 345.6890012590011, 3.438197996991221, 0.010411859999294393, 0.0070438810071209446, 0.6880372349987738, 1.5337183475494385, 90.50405144691467
9000, 430.91104926999833, 4.6444615829968825, 0.011671823012875393, 0.007082059993990697, 1.2092909870116273, 1.882737398147583, 122.2494125366211
